name,lat,lon
Bowden Doors,55.585973,-1.888672
Kyloe in the Woods,55.640112,-1.925272
Shaftoe,55.128679,-1.921551
Hepburn,55.516013,-1.884369
Dumbarton Rock,55.937046,-4.56476
